Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,,,,,,,
Skal Labissiere,60,20.7,8.7,3.4,7.6,44.8,0.3,0.9,35.3,1.6,2,80.5,1.6,3.2,4.8,1.2,0.4,0.8,1.2,10.1,,,,,,,
Shabazz Napier,74,20.8,8.7,3,7.2,42,1.1,2.9,37.6,1.6,1.9,84.1,0.4,1.9,2.3,2,1.1,0.2,1.2,8.6,,,,,,,
Larry Nance Jr.,66,21.5,8.7,3.6,6.3,58.1,0,0.2,16.7,1.4,2.1,66.4,2.4,4.4,6.8,1.2,1.3,0.6,0.8,14.6,,,,,,,
Stanley Johnson,69,27.4,8.7,3,8.1,37.5,1,3.4,28.6,1.6,2.1,77.2,0.5,3.2,3.7,1.6,1.4,0.2,1.1,8.9,,,,,,,
Emmanuel Mudiay,64,19.4,8.6,3.2,8.2,38.8,0.7,2.3,31.8,1.5,2,76,0.4,2,2.4,3.2,0.6,0.2,1.8,7.8,,,,,,,
Fred VanVleet,76,20,8.6,3.1,7.2,42.6,1.4,3.4,41.4,1.1,1.3,83.2,0.3,2.1,2.4,3.2,0.9,0.3,1,10.1,,,,,,,
Danny Green,70,25.6,8.6,3.1,8,38.7,1.7,4.6,36.3,0.7,0.9,76.9,0.6,3,3.6,1.6,0.9,1.1,1.1,9.6,,,,,,,
Alex Len,69,20.2,8.5,3.1,5.5,56.6,0,0,33.3,2.3,3.3,68.4,2.5,5,7.5,1.2,0.4,0.9,1.1,13.9,,,,,,,
Dwight Powell,79,21.2,8.5,3.2,5.4,59.3,0.4,1.1,33.3,1.7,2.3,71.9,1.7,3.9,5.6,1.2,0.8,0.4,0.7,12.9,,,,,,,
Jerami Grant,81,20.3,8.4,3,5.6,53.5,0.4,1.4,29.1,2,3,67.5,1.1,2.9,3.9,0.7,0.4,1,0.7,10.1,,,,,,,
Garrett Temple,65,24.8,8.4,3.1,7.3,41.8,1.4,3.5,39.2,0.9,1.2,76.9,0.3,2,2.3,1.9,0.9,0.4,1.2,8.2,,,,,,,
Marcin Gortat,82,25.3,8.4,3.5,6.8,51.8,0,0,0,1.3,2,67.5,2.2,5.4,7.6,1.8,0.5,0.7,1.2,13.9,,,,,,,
Devin Harris,71,18.9,8.4,2.6,6.4,41.2,1.1,3.2,34.8,2,2.4,83.5,0.2,1.6,1.8,2.1,0.7,0.2,1.1,7.9,,,,,,,
Jerian Grant,74,22.8,8.4,2.8,6.8,41.6,0.8,2.5,32.6,1.9,2.5,74.5,0.4,1.9,2.3,4.6,0.9,0.1,1.2,10.4,,,,,,,
JR Smith,80,28.1,8.3,3,7.4,40.3,1.8,4.8,37.5,0.5,0.7,69.6,0.4,2.6,2.9,1.8,0.9,0.1,1,8.3,,,,,,,
Rajon Rondo,65,26.2,8.3,3.6,7.6,46.8,0.8,2.3,33.3,0.4,0.7,54.3,0.5,3.6,4,8.2,1.1,0.2,2.3,15,,,,,,,
Evan Turner,79,25.7,8.2,3.3,7.3,44.7,0.5,1.7,31.8,1.2,1.4,85,0.4,2.7,3.1,2.2,0.6,0.4,1.3,9,,,,,,,
Jarrett Allen,72,20,8.2,3.3,5.5,58.9,0.1,0.2,33.3,1.6,2,77.6,2,3.4,5.4,0.7,0.4,1.2,1.1,12,,,,,,,
Dejounte Murray,81,21.5,8.1,3.3,7.5,44.3,0.1,0.4,26.5,1.3,1.8,70.9,1.4,4.3,5.7,2.9,1.2,0.4,1.7,11.8,,,,,,,
Delon Wright,69,20.8,8,2.9,6.3,46.5,0.8,2.2,36.6,1.4,1.7,82.9,0.7,2.2,2.9,2.9,1,0.5,1.1,10.6,,,,,,,
David Nwaba,70,23.5,7.9,2.9,6,47.8,0.3,0.7,34.6,1.9,2.9,65.5,1.3,3.4,4.7,1.5,0.8,0.4,1.1,10.1,,,,,,,
Cory Joseph,82,27,7.9,3.1,7.4,42.4,0.8,2.3,35.3,0.9,1.1,74.5,0.5,2.7,3.2,3.2,1,0.2,1.1,9.9,,,,,,,
Kyle Anderson,74,26.7,7.9,3.1,5.9,52.7,0.3,0.8,33.3,1.4,2,71.2,1.1,4.2,5.4,2.7,1.6,0.8,1.3,13.7,,,,,,,
Josh Hart,63,23.2,7.9,2.8,6,46.9,1.2,3.1,39.6,1,1.5,70.2,0.7,3.5,4.2,1.3,0.7,0.3,0.7,10,,,,,,,
Tyler Ulis,71,23.4,7.8,3,7.8,38.8,0.6,2.1,28.8,1.2,1.4,83.2,0.3,1.5,1.8,4.4,1,0.1,1.8,8.3,,,,,,,
Justise Winslow,68,24.7,7.8,3,7.2,42.4,0.7,1.9,38,1,1.5,63.5,0.9,4.5,5.4,2.2,0.8,0.5,1.1,10.9,,,,,,,
Doug McDermott,81,21.8,7.8,2.9,6.3,46.7,1.1,2.7,42.6,0.8,1,79,0.5,2,2.5,1,0.2,0.2,0.7,7.4,,,,,,,
Darius Miller,82,23.7,7.8,2.6,5.9,44.4,1.8,4.4,41.1,0.7,0.8,86.6,0.2,1.8,2,1.4,0.3,0.2,0.7,7.5,,,,,,,
Jarell Martin,73,22.8,7.7,3,6.8,44.6,0.5,1.3,34.7,1.2,1.6,76.7,1.3,3,4.4,1,0.5,0.7,1.2,9,,,,,,,
Marquese Chriss,72,21.2,7.7,2.8,6.6,42.3,0.8,2.6,29.5,1.3,2.2,60.8,1.1,4.4,5.5,1.2,0.7,1,1.5,9.9,,,,,,,
Alec Burks,64,16.5,7.7,2.7,6.5,41.1,0.7,2.2,33.1,1.7,1.9,86.3,0.3,2.7,3,1,0.6,0.1,0.9,7.5,,,,,,,
Mario Chalmers,66,21.5,7.7,2.5,6.7,37.9,0.8,2.9,27.7,1.8,2.1,85.5,0.2,2.2,2.4,3,1.2,0.2,1.8,8.2,,,,,,,
Luke Kennard,73,20,7.6,2.8,6.4,44.3,1.1,2.7,41.5,0.9,1,85.5,0.3,2.1,2.4,1.7,0.6,0.2,0.9,7.9,,,,,,,
Luc Mbah a Moute,61,25.6,7.5,2.7,5.7,48.1,1,2.8,36.4,1.1,1.6,68.4,0.4,2.7,3,0.9,1.2,0.4,1.1,8.5,,,,,,,
Jarrett Jack,62,25,7.5,3,7.1,42.7,0.4,1.4,29.1,1,1.2,84,0.4,2.7,3.1,5.6,0.6,0.1,1.9,10.7,,,,,,,
Ian Clark,74,19.6,7.4,3,6.7,44.8,0.8,2.6,31.8,0.6,0.8,76.3,0.1,1.6,1.7,1.5,0.4,0.1,0.8,6.6,,,,,,,
Pascal Siakam,81,20.7,7.3,3.1,6.1,50.8,0.4,1.6,22,0.7,1.1,62.1,1,3.5,4.5,2,0.8,0.5,0.8,10.8,,,,,,,
Nick Young,80,17.4,7.3,2.5,6.1,41.2,1.5,4.1,37.7,0.7,0.8,86.2,0.3,1.3,1.6,0.5,0.5,0.1,0.5,5.7,,,,,,,
Tomas Satoransky,73,22.5,7.2,2.8,5.3,52.3,0.6,1.4,46.5,1,1.3,78.1,1,2.2,3.2,3.9,0.7,0.2,1.1,11.3,,,,,,,
Kyle O'Quinn,77,18,7.1,2.9,5,58.3,0.1,0.2,23.5,1.3,1.6,77.2,1.6,4.5,6.1,2.1,0.5,1.3,1.3,13.3,,,,,,,
James Ennis III,72,22.3,7.1,2.5,5.3,47.4,0.7,2.1,33.3,1.3,1.6,83.6,1,2.1,3.1,1,0.7,0.3,0.8,8.3,,,,,,,
Mason Plumlee,74,19.4,7.1,3,5,60.1,0,0,0,1.1,2.4,45.8,1.8,3.6,5.4,1.9,0.7,1.1,1.4,11.5,,,,,,,
Bryn Forbes,80,19,6.9,2.6,6.2,42.1,1.1,2.9,39,0.6,0.9,66.7,0.2,1.2,1.4,1,0.4,0,0.5,5.3,,,,,,,
Jakob Poeltl,82,18.6,6.9,3.1,4.7,65.9,0,0,50,0.7,1.2,59.4,2,2.8,4.8,0.7,0.5,1.2,1,11,,,,,,,
Bam Adebayo,69,19.8,6.9,2.5,4.9,51.2,0,0.1,0,1.9,2.6,72.1,1.7,3.8,5.5,1.5,0.5,0.6,1,10.9,,,,,,,
Raymond Felton,82,16.6,6.9,2.7,6.7,40.6,1,2.8,35.2,0.4,0.5,81.8,0.3,1.6,1.9,2.5,0.6,0.2,0.9,7,,,,,,,
Tony Snell,75,27.4,6.9,2.5,5.7,43.5,1.4,3.6,40.3,0.5,0.6,79.2,0.1,1.8,1.9,1.3,0.6,0.4,0.5,7.3,,,,,,,
Shelvin Mack,69,19.8,6.9,2.6,6,43,0.7,2,34.5,1,1.4,71.1,0.3,2.1,2.4,3.9,0.8,0.1,1.3,9,,,,,,,
David West,73,13.7,6.8,3,5.2,57.1,0,0.1,37.5,0.8,1.1,75.9,0.9,2.4,3.3,1.9,0.6,1,1.1,10,,,,,,,
Nemanja Bjelica,67,20.5,6.8,2.6,5.5,46.1,1.1,2.7,41.5,0.5,0.7,80,0.8,3.3,4.1,1.3,0.7,0.2,0.8,9.2,,,,,,,
Kosta Koufos,71,19.6,6.7,3.1,5.5,57.1,0,0,0,0.5,1,44.6,2.1,4.5,6.6,1.2,0.7,0.5,0.7,12.1,,,,,,,
Malik Monk,63,13.6,6.7,2.4,6.7,36,1.3,3.9,34.2,0.5,0.6,84.2,0.1,0.9,1,1.4,0.3,0.1,0.8,4.4,,,,,,,
Tyler Zeller,66,16.8,6.7,2.8,5.1,56,0.2,0.4,35.7,0.9,1.2,72.2,1.7,3,4.6,0.7,0.2,0.5,0.7,9.5,,,,,,,
Justin Jackson,68,22.1,6.7,2.7,6.2,44.2,0.8,2.7,30.8,0.4,0.5,72.2,0.4,2.4,2.8,1.1,0.4,0.2,0.6,6.9,,,,,,,
Isaiah Taylor,67,17.4,6.6,2.4,5.8,41.8,0.3,1.2,25,1.5,2.1,70.2,0.3,1.1,1.4,3.1,0.5,0.1,1.3,6.5,,,,,,,
Maurice Harkless,59,21.4,6.5,2.5,5,49.5,0.8,2,41.5,0.7,1,71.2,0.8,2,2.7,0.9,0.8,0.7,0.7,8.2,,,,,,,
Dragan Bender,82,25.2,6.5,2.3,5.9,38.6,1.4,3.9,36.6,0.5,0.6,76.5,0.5,3.9,4.4,1.6,0.3,0.6,1.4,8.2,,,,,,,
Jodie Meeks,77,14.5,6.3,2,5.1,39.9,0.9,2.7,34.3,1.3,1.5,86.3,0.2,1.4,1.6,0.9,0.4,0.1,0.5,5.5,,,,,,,
Trevor Booker,68,17,6.3,2.6,5,51.6,0.1,0.5,24.2,1,1.4,71,1.7,3,4.7,1.2,0.4,0.3,0.9,9.2,,,,,,,
T.J. McConnell,76,22.5,6.3,2.8,5.5,49.9,0.4,0.8,43.5,0.4,0.5,79.5,0.5,2.5,3,4,1.2,0.2,1.5,10.3,,,,,,,
Langston Galloway,58,14.9,6.2,2.2,5.9,37.1,1.3,3.8,34.4,0.6,0.7,80.5,0.2,1.4,1.6,1,0.6,0.1,0.3,5.3,,,,,,,
PJ Tucker,82,27.8,6.1,2.1,5.4,39,1.4,3.8,37.1,0.5,0.7,71.7,1.1,4.4,5.6,0.9,1,0.3,0.9,9.5,,,,,,,
Andre Iguodala,64,25.3,6,2.3,5,46.3,0.5,1.8,28.2,0.9,1.4,63.2,0.8,3.1,3.8,3.3,0.8,0.6,1,10.3,,,,,,,
Aron Baynes,81,18.3,6,2.6,5.5,47.1,0,0.3,14.3,0.7,1,75.6,1.6,3.8,5.4,1.1,0.3,0.6,1,9.2,,,,,,,
Gorgui Dieng,79,16.9,5.9,2.4,4.9,47.9,0.2,0.8,31.1,1,1.3,77.5,1.3,3.2,4.6,0.9,0.6,0.5,0.7,8.9,,,,,,,
Frank Ntilikina,78,21.9,5.9,2.3,6.4,36.4,0.6,2,31.8,0.6,0.9,72.1,0.5,1.8,2.3,3.2,0.8,0.2,1.7,6.5,,,,,,,
Davis Bertans,77,14.1,5.9,2.1,4.8,44,1.2,3.3,37.3,0.5,0.6,81.6,0.2,1.8,2,1,0.3,0.4,0.5,6.3,,,,,,,
OG Anunoby,74,20,5.9,2.2,4.7,47.1,1,2.7,37.1,0.5,0.8,62.9,0.6,1.9,2.5,0.7,0.7,0.2,0.6,6.6,,,,,,,
Quincy Acy,70,19.4,5.9,1.9,5.2,35.6,1.5,4.2,34.9,0.7,0.9,81.7,0.6,3.1,3.7,0.8,0.5,0.4,0.9,6.9,,,,,,,
Deyonta Davis,62,15.2,5.8,2.6,4.3,60.8,0,0,0,0.6,0.9,66.7,1.2,2.8,4,0.6,0.2,0.6,0.5,8.9,,,,,,,
Jonas Jerebko,74,15.3,5.8,2.1,4.6,46.6,0.9,2.1,41.4,0.6,0.8,80.7,0.7,2.6,3.3,0.6,0.3,0.2,0.4,7.2,,,,,,,
Dante Cunningham,73,21.4,5.7,2.2,5,45.1,0.8,2.3,34.5,0.4,0.7,59.6,1.1,3,4.1,0.7,0.5,0.4,0.5,7.9,,,,,,,
Bismack Biyombo,82,18.2,5.7,2.2,4.3,52,0,0,0,1.2,1.9,65,1.8,4,5.7,0.8,0.3,1.2,1,9.9,,,,,,,
Shaun Livingston,71,15.9,5.5,2.4,4.8,50.1,0,0.1,0,0.7,0.9,82,0.5,1.4,1.8,2,0.5,0.3,0.8,6.8,,,,,,,
Norman Powell,70,15.2,5.5,2.1,5.3,40.1,0.8,2.7,28.5,0.5,0.6,82.1,0.2,1.5,1.7,1.3,0.5,0.2,0.9,5,,,,,,,
Wesley Johnson,74,20.1,5.4,2,5,40.8,0.8,2.4,33.9,0.6,0.8,74.1,0.4,2.5,2.9,0.8,1,0.8,0.7,7.2,,,,,,,
Zaza Pachulia,69,14.1,5.4,2.2,3.8,56.4,0,0,0,1.1,1.3,80.6,1.3,3.4,4.7,1.6,0.6,0.2,1,9.5,,,,,,,
Vince Carter,58,17.7,5.4,2,4.9,40.3,1,2.8,34.5,0.5,0.6,75.7,0.3,2.2,2.6,1.2,0.7,0.4,0.6,6.6,,,,,,,
Pat Connaughton,82,18.1,5.4,2,4.8,42.3,0.9,2.6,35.2,0.5,0.5,84.1,0.4,1.5,2,1.1,0.3,0.3,0.5,5.6,,,,,,,
Maxi Kleber,72,16.8,5.4,2.1,4.3,48.9,0.6,1.8,31.3,0.6,0.8,74.6,1,2.3,3.3,0.7,0.4,0.7,0.4,7.5,,,,,,,
Ed Davis,78,18.9,5.3,2.2,3.7,58.2,0,0,0,0.9,1.4,66.7,2.3,5,7.4,0.5,0.4,0.7,0.8,11.4,,,,,,,
Corey Brewer,72,16.8,5.3,2,4.4,44.9,0.4,1.5,28.2,0.9,1.3,72.2,0.6,1.5,2.1,0.9,1.1,0.2,0.7,6.2,,,,,,,
Daniel Theis,63,14.9,5.3,2,3.7,54.1,0.3,0.9,31,1,1.3,75.3,1.4,2.9,4.3,0.9,0.5,0.8,0.9,8.8,,,,,,,
Tyus Jones,82,17.9,5.1,1.8,4,45.7,0.5,1.6,34.9,0.9,1,87.7,0.2,1.4,1.6,2.8,1.2,0.1,0.7,7.7,,,,,,,
Royce O'Neale,69,16.7,5,1.7,4.1,42.3,0.6,1.7,35.6,0.9,1.1,80.3,0.4,3.1,3.4,1.4,0.5,0.2,0.8,7.1,,,,,,,
Thon Maker,74,16.7,4.8,1.8,4.3,41.1,0.4,1.4,29.8,0.9,1.3,69.9,1,2,3,0.6,0.5,0.7,0.6,6.2,,,,,,,
JaVale McGee,65,9.5,4.8,2.1,3.4,62.1,0,0.1,0,0.6,0.8,73.1,0.9,1.7,2.6,0.5,0.3,0.9,0.4,7.2,,,,,,,
Ian Mahinmi,77,14.9,4.8,1.8,3.2,55.6,0,0,0,1.2,1.7,70.3,1.8,2.3,4.1,0.7,0.5,0.5,1.3,7.3,,,,,,,
Alex Abrines,75,15.1,4.7,1.5,3.9,39.5,1.1,2.9,38,0.5,0.6,84.8,0.3,1.2,1.5,0.4,0.5,0.1,0.3,4.4,,,,,,,
Amir Johnson,74,15.8,4.6,1.9,3.5,53.8,0.1,0.4,31.3,0.7,1.1,61.2,1.7,2.8,4.5,1.6,0.6,0.6,0.7,9.1,,,,,,,
Zach Collins,66,15.8,4.4,1.7,4.4,39.8,0.5,1.7,31,0.4,0.6,64.3,0.7,2.7,3.3,0.8,0.3,0.5,0.9,5.5,,,,,,,
Treveon Graham,63,16.7,4.3,1.5,3.5,43.4,0.6,1.5,41.2,0.7,0.9,69.5,0.7,1.3,1.9,0.9,0.5,0,0.4,5,,,,,,,
Sam Dekker,73,12.1,4.2,1.8,3.5,49.4,0.1,0.8,16.7,0.5,0.8,66.1,0.6,1.8,2.4,0.5,0.3,0.1,0.5,5,,,,,,,
Lance Thomas,73,18.5,4.1,1.4,3.7,38.2,0.7,1.7,40.3,0.6,0.7,83,0.6,1.8,2.4,0.6,0.4,0.2,0.6,4.7,,,,,,,
Kevon Looney,66,13.8,4,1.7,2.9,58,0,0.1,20,0.6,1.2,54.5,1.3,2,3.3,0.6,0.5,0.8,0.5,7.1,,,,,,,
Cedi Osman,61,11,3.9,1.5,3,48.4,0.5,1.4,36.8,0.4,0.8,56.5,0.3,1.7,2,0.7,0.4,0,0.5,4.5,,,,,,,
Patrick Patterson,82,15.5,3.9,1.3,3.2,39.8,0.8,2.1,38.6,0.5,0.6,87,0.4,2,2.4,0.7,0.6,0.3,0.4,5.4,,,,,,,
Sindarius Thornwell,73,15.8,3.9,1.4,3.2,42.9,0.3,0.8,37.7,0.8,1.2,67,0.5,1.5,1.9,0.9,0.7,0.3,0.7,4.8,,,,,,,
Wes Iwundu,62,16.5,3.7,1.5,3.5,42.7,0.1,0.7,19.6,0.5,0.8,72.3,0.6,1.6,2.2,0.9,0.5,0.2,0.5,4.8,,,,,,,
Salah Mejri,61,12,3.5,1.4,2.2,64.2,0,0,0,0.6,1.1,57.6,1.4,2.6,4,0.6,0.4,1.1,0.6,7.7,,,,,,,
Malik Beasley,62,9.4,3.2,1.2,2.9,41,0.5,1.3,34.1,0.4,0.5,66.7,0.2,0.9,1.1,0.5,0.2,0.1,0.4,2.9,,,,,,,
Terrance Ferguson,61,12.5,3.1,1.1,2.8,41.4,0.7,2,33.3,0.1,0.2,90,0.3,0.5,0.8,0.3,0.4,0.2,0.2,2.9,,,,,,,
Tim Frazier,59,14.2,3,1.2,2.9,39.5,0.3,0.9,30.4,0.4,0.5,76.7,0.3,1.6,1.9,3.3,0.8,0.1,1,6.3,,,,,,,
Semi Ojeleye,73,15.8,2.7,0.9,2.6,34.6,0.5,1.7,32,0.3,0.6,61,0.5,1.7,2.2,0.3,0.3,0.1,0.3,3.2,,,,,,,
Ekpe Udoh,63,12.9,2.6,1,1.9,50,0,0,0,0.7,0.9,75,1.1,1.3,2.4,0.8,0.7,1.2,0.3,6.2,,,,,,,
Josh Huestis,69,14.2,2.3,0.9,2.6,33,0.5,1.7,28.7,0.1,0.3,30,0.6,1.7,2.3,0.3,0.2,0.6,0.4,3.4,,,,,,,
Brandon Paul,64,9,2.3,0.9,2,43.3,0.2,0.8,27.8,0.3,0.7,51.2,0.1,1,1.1,0.6,0.4,0.1,0.5,2.5,,,,,,,
Eric Moreland,67,12,2.1,1,1.8,54.1,0,0,0,0.2,0.4,37.9,1.2,2.9,4.1,1.2,0.5,0.8,0.6,7,,,,,,,
DeAndre Liggins,58,12.5,1.7,0.7,1.8,37.7,0.3,0.9,35.8,0,0.1,40,0.1,1.2,1.3,0.8,0.6,0.2,0.3,3.2,,,,,,,
